               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041412,             0.03115,           0.0043955,             0.69359,             0.60808,             0.62221,              0.2882,            0.042234,              0.0212,           0.0043206,            0.006535,            0.006535,            0.006535
                  37,             0.04111,            0.030594,           0.0043753,             0.67499,             0.60518,              0.5968,             0.27866,            0.042376,            0.021221,           0.0046021,            0.006436,            0.006436,            0.006436
                  38,            0.040745,              0.0305,           0.0042652,             0.70746,              0.6015,             0.61529,             0.28774,            0.041943,            0.021025,           0.0044719,            0.006337,            0.006337,            0.006337
                  39,            0.040578,            0.029892,           0.0041029,             0.67251,             0.62169,             0.62046,             0.29086,             0.04196,            0.021026,           0.0042806,            0.006238,            0.006238,            0.006238
                  40,            0.039923,            0.029887,           0.0038786,             0.70054,             0.59784,             0.62191,             0.29043,            0.041616,            0.020983,           0.0043512,            0.006139,            0.006139,            0.006139
                  41,             0.03988,            0.029849,           0.0041452,              0.6966,             0.63301,             0.64108,             0.29839,            0.041442,            0.020813,           0.0041228,             0.00604,             0.00604,             0.00604
                  42,                0.04,            0.029748,           0.0040287,             0.68915,             0.63069,             0.62841,             0.29382,            0.041724,            0.021184,           0.0042886,            0.005941,            0.005941,            0.005941
                  43,            0.039469,            0.029396,           0.0038083,             0.72318,             0.63423,              0.6509,             0.30255,            0.041122,            0.021089,           0.0043573,            0.005842,            0.005842,            0.005842
                  44,            0.039299,            0.029125,           0.0039404,             0.69639,             0.63369,             0.63268,             0.30086,            0.040913,            0.021028,           0.0040567,            0.005743,            0.005743,            0.005743
                  45,            0.038705,            0.028995,           0.0036405,              0.7139,             0.60336,             0.62983,             0.29571,            0.041631,            0.020914,           0.0042414,            0.005644,            0.005644,            0.005644
                  46,            0.038914,            0.028999,           0.0037604,             0.71936,              0.6247,             0.63712,              0.2983,            0.041139,             0.02082,           0.0041499,            0.005545,            0.005545,            0.005545
                  47,            0.038174,            0.028964,           0.0036968,             0.69391,             0.62047,             0.63285,             0.29686,            0.041108,            0.020795,           0.0043464,            0.005446,            0.005446,            0.005446
                  48,            0.038219,            0.028212,           0.0035185,             0.70402,             0.62567,             0.64476,             0.30761,            0.041177,            0.020911,            0.004038,            0.005347,            0.005347,            0.005347
                  49,            0.038373,            0.028832,           0.0036899,             0.73695,             0.62301,             0.63516,              0.2968,            0.042091,            0.021062,           0.0044416,            0.005248,            0.005248,            0.005248
                  50,            0.037631,              0.0281,           0.0031857,             0.71508,             0.63075,             0.64059,             0.30896,            0.040746,            0.020889,           0.0038272,            0.005149,            0.005149,            0.005149
                  51,            0.037807,             0.02846,           0.0033921,              0.7268,             0.64189,             0.65732,             0.31702,            0.040355,            0.020983,           0.0040367,             0.00505,             0.00505,             0.00505
                  52,            0.037818,             0.02816,           0.0031998,             0.73877,             0.62054,             0.65032,             0.30545,            0.040912,            0.021069,           0.0041355,            0.004951,            0.004951,            0.004951
                  53,            0.037337,            0.027846,           0.0031853,             0.73997,             0.64687,             0.66791,             0.32195,            0.040228,            0.020878,           0.0038624,            0.004852,            0.004852,            0.004852
                  54,            0.037037,             0.02781,           0.0032035,             0.72637,              0.6292,              0.6441,             0.31375,            0.040219,            0.020898,           0.0037398,            0.004753,            0.004753,            0.004753
                  55,            0.037117,            0.028303,             0.00321,             0.70238,             0.63607,             0.64715,             0.31724,            0.039774,            0.020967,           0.0041504,            0.004654,            0.004654,            0.004654
                  56,             0.03666,            0.027824,           0.0031892,             0.69637,             0.66671,             0.65832,             0.31378,            0.040024,            0.020943,           0.0039803,            0.004555,            0.004555,            0.004555
                  57,            0.036229,            0.027535,            0.003025,             0.72663,             0.64845,             0.66508,             0.31919,            0.040045,            0.020901,           0.0039401,            0.004456,            0.004456,            0.004456
                  58,            0.036457,            0.027167,           0.0031177,             0.70758,             0.66283,             0.65754,             0.31022,            0.040228,            0.020881,           0.0041008,            0.004357,            0.004357,            0.004357
                  59,            0.036183,             0.02719,           0.0031942,             0.70724,             0.65416,             0.66028,             0.31997,            0.040115,            0.020842,            0.004244,            0.004258,            0.004258,            0.004258
                  60,            0.035978,            0.027117,           0.0033347,             0.70937,              0.6601,             0.65831,             0.32072,             0.03981,            0.020614,            0.003959,            0.004159,            0.004159,            0.004159
                  61,            0.035788,            0.027427,           0.0026769,             0.74241,             0.64857,             0.66449,             0.32496,            0.039922,            0.020947,           0.0037883,             0.00406,             0.00406,             0.00406
                  62,            0.035867,            0.027467,           0.0027825,             0.73972,             0.63382,             0.65938,             0.31947,             0.03998,            0.020576,           0.0041191,            0.003961,            0.003961,            0.003961
                  63,            0.035293,            0.026855,            0.002972,             0.70415,             0.67379,             0.66621,             0.32937,            0.039587,            0.020526,           0.0037829,            0.003862,            0.003862,            0.003862
                  64,            0.035321,            0.027485,           0.0028032,             0.73197,             0.66032,              0.6624,             0.32824,            0.039808,            0.020551,           0.0041215,            0.003763,            0.003763,            0.003763
                  65,            0.034963,            0.026591,           0.0026573,             0.71431,             0.68473,             0.68253,             0.33519,            0.039649,            0.020588,           0.0039589,            0.003664,            0.003664,            0.003664
                  66,            0.034813,            0.026202,           0.0027804,             0.73881,             0.67154,             0.67115,             0.33192,            0.039697,            0.020636,           0.0037263,            0.003565,            0.003565,            0.003565
                  67,             0.03484,            0.026433,           0.0027703,             0.74132,             0.65782,             0.66984,             0.33361,            0.039597,            0.020502,            0.003802,            0.003466,            0.003466,            0.003466
                  68,            0.034839,            0.026851,           0.0028663,             0.71992,             0.67231,             0.66278,             0.32886,            0.040254,            0.020933,           0.0041028,            0.003367,            0.003367,            0.003367
                  69,            0.034397,            0.026406,           0.0027315,             0.74747,              0.6663,             0.67839,             0.33379,            0.039651,            0.020935,           0.0037663,            0.003268,            0.003268,            0.003268
                  70,            0.034122,            0.026736,           0.0027387,             0.72439,             0.66807,              0.6678,             0.33237,            0.039516,            0.020734,           0.0036255,            0.003169,            0.003169,            0.003169
